"","Site","sdate","Year","Yearf","Month","DOY","Precip","lPrecip","wPrecip","wlPrecip","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","Chl_Median","D_Median","lD_Median","DO_Median","PctSat_Median","pH_Median","spCond_Median","T_Median"
"1","S07",2010-06-01,2010,"2010","Jun",152,15,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","S07",2010-06-02,2010,"2010","Jun",153,0,0,NA,NA,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","S07",2010-06-03,2010,"2010","Jun",154,28,3.36729582998647,NA,NA,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","S07",2010-06-04,2010,"2010","Jun",155,0,0,NA,NA,3.36729582998647,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","S07",2010-06-05,2010,"2010","Jun",156,196,5.28320372873799,NA,NA,0,3.36729582998647,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","S07",2010-06-06,2010,"2010","Jun",157,257,5.55295958492162,NA,NA,5.28320372873799,0,3.36729582998647,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","S07",2010-06-07,2010,"2010","Jun",158,0,0,NA,NA,5.55295958492162,5.28320372873799,0,3.36729582998647,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","S07",2010-06-08,2010,"2010","Jun",159,8,2.19722457733622,NA,NA,0,5.55295958492162,5.28320372873799,0,3.36729582998647,0,2.77258872223978,NA,NA,NA,91.6427,NA,NA,8.69,91.65,7.315,356.5,17.675
"9","S07",2010-06-09,2010,"2010","Jun",160,0,0,NA,NA,2.19722457733622,0,5.55295958492162,5.28320372873799,0,3.36729582998647,0,2.77258872223978,NA,NA,111.083,NA,NA,8.635,87.35,7.3,425,16.425
"10","S07",2010-06-10,2010,"2010","Jun",161,74,4.31748811353631,182.49777152,6.49021985073417,0,2.19722457733622,0,5.55295958492162,5.28320372873799,0,3.36729582998647,0,2.77258872223978,NA,109.664,NA,NA,8.375,82.35,7.24,420,15.115
"11","S07",2010-06-11,2010,"2010","Jun",162,0,0,203.58760448,8.34846192423442,4.31748811353631,0,2.19722457733622,0,5.55295958492162,5.28320372873799,0,3.36729582998647,0,2.77258872223978,102.2852,NA,NA,8.68,85.65,7.265,394,16.605
"12","S07",2010-06-12,2010,"2010","Jun",163,3,1.38629436111989,162.870083584,6.67876953938754,0,4.31748811353631,0,2.19722457733622,0,5.55295958492162,5.28320372873799,0,3.36729582998647,0,123.0026,NA,NA,8.17,83.4,7.27,467,16.48
"13","S07",2010-06-13,2010,"2010","Jun",164,5,1.79175946922805,129.68958976,6.09049048376222,1.38629436111989,0,4.31748811353631,0,2.19722457733622,0,5.55295958492162,5.28320372873799,0,3.36729582998647,145.9904,NA,NA,8.16,83.55,7.3,548,16.375
"14","S07",2010-06-14,2010,"2010","Jun",165,25,3.25809653802148,107.751671808,6.30579996239222,1.79175946922805,1.38629436111989,0,4.31748811353631,0,2.19722457733622,0,5.55295958492162,5.28320372873799,0,152.6597,NA,NA,7.895,80.95,7.29,571.5,17.175
"15","S07",2010-06-15,2010,"2010","Jun",166,0,0,85.155997696,7.08383751950509,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,0,2.19722457733622,0,5.55295958492162,5.28320372873799,151.3826,NA,NA,7.595,79.75,7.295,567,17.31
"16","S07",2010-06-16,2010,"2010","Jun",167,8,2.19722457733622,40.52963328,5.07082552027287,0,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,0,2.19722457733622,0,5.55295958492162,168.9782,NA,NA,7.97,82.7,7.325,628.5,17.08
"17","S07",2010-06-17,2010,"2010","Jun",168,15,2.77258872223978,38.823706624,5.81444007808727,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,0,2.19722457733622,0,183.452,NA,NA,7.84,80.4,7.32,680,16.51
"18","S07",2010-06-18,2010,"2010","Jun",169,0,0,42.19997184,6.63369784772098,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,0,2.19722457733622,173.8028,NA,NA,7.5,76.5,7.365,646,18.825
"19","S07",2010-06-19,2010,"2010","Jun",170,0,0,33.759977472,5.30695827817678,0,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,0,196.5068,NA,NA,5.6,61.4,7.31,726,20.24
"20","S07",2010-06-20,2010,"2010","Jun",171,0,0,19.06229248,3.78197986632875,0,0,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,0,4.31748811353631,225.7382,NA,NA,5.18,58.85,7.25,829,21.04
"21","S07",2010-06-21,2010,"2010","Jun",172,0,0,15.249833984,3.025583893063,0,0,0,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,0,260.6456,NA,NA,5.105,56.65,7.23,952,20.885
"22","S07",2010-06-22,2010,"2010","Jun",173,0,0,11.87774464,2.27161489085942,0,0,0,0,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,1.38629436111989,292.8569,NA,NA,5.84,59.4,7.22,1065.5,18.88
"23","S07",2010-06-23,2010,"2010","Jun",174,61,4.12713438504509,8.9653248,1.62490320462172,0,0,0,0,0,2.77258872223978,2.19722457733622,0,3.25809653802148,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA
"24","S07",2010-06-24,2010,"2010","Jun",175,48,3.89182029811063,53.28790528,4.25179461978312,4.12713438504509,0,0,0,0,0,2.77258872223978,2.19722457733622,0,3.25809653802148,NA,NA,NA,NA,NA,NA,NA,NA
"25","S07",2010-06-25,2010,"2010","Jun",176,0,0,81.030324224,6.514891934315,3.89182029811063,4.12713438504509,0,0,0,0,0,2.77258872223978,2.19722457733622,0,NA,NA,NA,NA,NA,NA,NA,NA
"26","S07",2010-06-26,2010,"2010","Jun",177,0,0,63.96526592,4.97598835491134,0,3.89182029811063,4.12713438504509,0,0,0,0,0,2.77258872223978,2.19722457733622,NA,NA,NA,NA,NA,NA,NA,NA
"27","S07",2010-06-27,2010,"2010","Jun",178,58,4.07753744390572,49.5616,3.68308623674711,0,0,3.89182029811063,4.12713438504509,0,0,0,0,0,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA
"28","S07",2010-06-28,2010,"2010","Jun",179,81,4.40671924726425,86.04928,6.20849894452226,4.07753744390572,0,0,3.89182029811063,4.12713438504509,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"29","S07",2010-06-29,2010,"2010","Jun",180,0,0,133.639424,8.49217455342922,4.40671924726425,4.07753744390572,0,0,3.89182029811063,4.12713438504509,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"30","S07",2010-06-30,2010,"2010","Jun",181,0,0,106.9115392,6.79373964274337,0,4.40671924726425,4.07753744390572,0,0,3.89182029811063,4.12713438504509,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"31","S07",2010-07-01,2010,"2010","Jul",182,20,3.04452243772342,85.52923136,5.4349917141947,0,0,4.40671924726425,4.07753744390572,0,0,3.89182029811063,4.12713438504509,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"32","S07",2010-07-02,2010,"2010","Jul",183,0,0,84.423385088,6.7836113215345,3.04452243772342,0,0,4.40671924726425,4.07753744390572,0,0,3.89182029811063,4.12713438504509,0,NA,NA,NA,NA,NA,NA,NA,NA
"33","S07",2010-07-03,2010,"2010","Jul",184,0,0,60.988882944,4.98374137697845,0,3.04452243772342,0,0,4.40671924726425,4.07753744390572,0,0,3.89182029811063,4.12713438504509,NA,NA,NA,NA,NA,NA,NA,NA
