"","sdate","Year","Month","DOY","Precip","MaxT","lPrecip","wPrecip","wlPrecip"
"1",2010-06-01,2010,"Jun",152,15,206,2.77258872223978,NA,NA
"2",2010-06-02,2010,"Jun",153,0,194,0,NA,NA
"3",2010-06-03,2010,"Jun",154,28,178,3.36729582998647,NA,NA
"4",2010-06-04,2010,"Jun",155,0,217,0,NA,NA
"5",2010-06-05,2010,"Jun",156,196,261,5.28320372873799,NA,NA
"6",2010-06-06,2010,"Jun",157,257,189,5.55295958492162,NA,NA
"7",2010-06-07,2010,"Jun",158,0,222,0,NA,NA
"8",2010-06-08,2010,"Jun",159,8,211,2.19722457733622,NA,NA
"9",2010-06-09,2010,"Jun",160,0,211,0,NA,NA
"10",2010-06-10,2010,"Jun",161,74,139,4.31748811353631,182.49777152,6.49021985073417
"11",2010-06-11,2010,"Jun",162,0,206,0,203.58760448,8.34846192423442
"12",2010-06-12,2010,"Jun",163,3,211,1.38629436111989,162.870083584,6.67876953938754
"13",2010-06-13,2010,"Jun",164,5,161,1.79175946922805,129.68958976,6.09049048376222
"14",2010-06-14,2010,"Jun",165,25,217,3.25809653802148,107.751671808,6.30579996239222
"15",2010-06-15,2010,"Jun",166,0,239,0,85.155997696,7.08383751950509
"16",2010-06-16,2010,"Jun",167,8,211,2.19722457733622,40.52963328,5.07082552027287
"17",2010-06-17,2010,"Jun",168,15,200,2.77258872223978,38.823706624,5.81444007808727
"18",2010-06-18,2010,"Jun",169,0,306,0,42.19997184,6.63369784772098
"19",2010-06-19,2010,"Jun",170,0,289,0,33.759977472,5.30695827817678
"20",2010-06-20,2010,"Jun",171,0,283,0,19.06229248,3.78197986632875
"21",2010-06-21,2010,"Jun",172,0,294,0,15.249833984,3.025583893063
"22",2010-06-22,2010,"Jun",173,0,267,0,11.87774464,2.27161489085942
"23",2010-06-23,2010,"Jun",174,61,261,4.12713438504509,8.9653248,1.62490320462172
"24",2010-06-24,2010,"Jun",175,48,300,3.89182029811063,53.28790528,4.25179461978312
"25",2010-06-25,2010,"Jun",176,0,261,0,81.030324224,6.514891934315
"26",2010-06-26,2010,"Jun",177,0,250,0,63.96526592,4.97598835491134
"27",2010-06-27,2010,"Jun",178,58,222,4.07753744390572,49.5616,3.68308623674711
"28",2010-06-28,2010,"Jun",179,81,283,4.40671924726425,86.04928,6.20849894452226
"29",2010-06-29,2010,"Jun",180,0,272,0,133.639424,8.49217455342922
"30",2010-06-30,2010,"Jun",181,0,233,0,106.9115392,6.79373964274337
"31",2010-07-01,2010,"Jul",182,20,211,3.04452243772342,85.52923136,5.4349917141947
"32",2010-07-02,2010,"Jul",183,0,256,0,84.423385088,6.7836113215345
"33",2010-07-03,2010,"Jul",184,0,272,0,60.988882944,4.98374137697845
"34",2010-07-04,2010,"Jul",185,0,322,0,43.6371456,3.56911207902541
"35",2010-07-05,2010,"Jul",186,0,317,0,34.90971648,2.85528966322033
"36",2010-07-06,2010,"Jul",187,0,350,0,27.927773184,2.28423173057626
"37",2010-07-07,2010,"Jul",188,0,294,0,16.114515968,1.38956313521625
"38",2010-07-08,2010,"Jul",189,0,261,0,4.194304,0.638482631931655
"39",2010-07-09,2010,"Jul",190,0,278,0,3.3554432,0.510786105545324
"40",2010-07-10,2010,"Jul",191,102,272,4.63472898822964,2.68435456,0.408628884436259
"41",2010-07-11,2010,"Jul",192,0,267,0,81.6,3.70778319058371
"42",2010-07-12,2010,"Jul",193,0,267,0,65.28,2.96622655246697
"43",2010-07-13,2010,"Jul",194,5,272,1.79175946922805,52.224,2.37298124197357
"44",2010-07-14,2010,"Jul",195,574,256,6.35437004079735,45.7792,3.3317925689613
"45",2010-07-15,2010,"Jul",196,0,283,0,495.82336,7.74893008780692
"46",2010-07-16,2010,"Jul",197,0,239,0,396.658688,6.19914407024554
"47",2010-07-17,2010,"Jul",198,0,322,0,317.3269504,4.95931525619643
"48",2010-07-18,2010,"Jul",199,0,311,0,253.86156032,3.96745220495715
"49",2010-07-19,2010,"Jul",200,0,267,0,203.089248256,3.17396176396572
"50",2010-07-20,2010,"Jul",201,0,267,0,151.519232,2.04151917541584
